id,word_id,ice,eng,answ_1,answ_2,condition,knows_icelandic,youtube_usage
43e92174,1,fjall,mountain,,,,,0-15 minutes
43e92174,2,eldur,fire,,,,,0-15 minutes
43e92174,3,gleði,joy,,,,,0-15 minutes
43e92174,4,draumur,dream,,,,,0-15 minutes
43e92174,5,hljóð,sound,,,,,0-15 minutes
43e92174,6,vor,spring,,,,,0-15 minutes
43e92174,7,haust,autumn,,,,,0-15 minutes
43e92174,8,tungl,moon,,,,,0-15 minutes
43e92174,9,haf,sea,,,,,0-15 minutes
43e92174,10,ást,love,,,,,0-15 minutes
43e92174,11,friður,peace,,,,,0-15 minutes
43e92174,12,reiði,anger,,,,,0-15 minutes
43e92174,13,synda,swim,,,,,0-15 minutes
43e92174,14,vinna,work,,,,,0-15 minutes
43e92174,15,hlæja,laugh,,,,,0-15 minutes
43e92174,16,gráta,cry,,,,,0-15 minutes
43e92174,17,borða,eat,,,,,0-15 minutes
43e92174,18,hlaupa,run,,,,,0-15 minutes
43e92174,19,ganga,walk,,,,,0-15 minutes
43e92174,20,sjá,see,,,,,0-15 minutes
43e92174,21,heyra,hear,,,,,0-15 minutes
43e92174,22,hugsa,think,,,,,0-15 minutes
43e92174,23,vita,know,,,,,0-15 minutes
43e92174,24,framkvæmt,implementation,,,,,0-15 minutes
43e92174,25,forystumaður,leader,,,,,0-15 minutes
43e92174,26,borg,city,,,,,0-15 minutes
43e92174,27,hurð,door,,,,,0-15 minutes
43e92174,28,gluggi,window,,,,,0-15 minutes
43e92174,29,mynd,picture,,,,,0-15 minutes
43e92174,30,þögn,silence,,,,,0-15 minutes
43e92174,31,heppinn,lucky,,,,,0-15 minutes
43e92174,32,safn,museum ,,,,,0-15 minutes
43e92174,33,ferð,trip ,,,,,0-15 minutes
43e92174,34,rödd,voice,,,,,0-15 minutes
43e92174,35,sársauki,pain,,,,,0-15 minutes
43e92174,36,hreyfa,move,,,,,0-15 minutes
43e92174,37,fjöldi,number ,,,,,0-15 minutes
43e92174,38,verkefni,project ,,,,,0-15 minutes
43e92174,39,árangur,success,,,,,0-15 minutes
43e92174,40,skap,mood ,,,,,0-15 minutes
