id,word_id,ice,eng,answ_1,answ_2
73a6d089,1,framkvæmd,implementation ,,
73a6d089,2,neysla,consumption,consumption,
73a6d089,3,forystumaður,leader,leader,
73a6d089,4,skynjun,perception,,
73a6d089,5,viðhorf,attitude,,attitude
73a6d089,6,ávinningur,benefit,,benefit
73a6d089,7,auðmýkt,humility,humility,
73a6d089,8,yfirvöld,authorities,,authorities
73a6d089,9,geðshræring,emotion,,emotion
73a6d089,10,ábyrgð,responsibility,responsability,
73a6d089,11,siðferði,ethics,,ethics
73a6d089,12,hugleiðing,meditation,,
73a6d089,13,forsendur,assumptions,,
73a6d089,14,viðnám,resistance,resi,
73a6d089,15,yfirborð,surface,,surface
73a6d089,16,vitund,awareness,awareness,
73a6d089,17,takmörk,limits,,limits
73a6d089,18,hugrekki,courage,,courage
73a6d089,19,tilfinning,feeling,,
73a6d089,20,örvænting,despair,despair,
73a6d089,21,framfarir,progress,,progress
73a6d089,22,endurreisn,reconstruction,reconstruction,
73a6d089,23,áhrif,influence,influence,
73a6d089,24,einföldun,simplification,,
73a6d089,25,umbreyting,transformation,,transformation
73a6d089,26,rökfræði,logic,logic,
73a6d089,27,þátttaka,participation,,
73a6d089,28,áskorun,challenge,challenge,
73a6d089,29,lausn,solution,solution,
73a6d089,30,sambúð,coexistence,,coexistence
73a6d089,31,miðlun,mediation,,mediation
73a6d089,32,hlutverk,function,,function
73a6d089,33,viðbrögð,reactions,,
73a6d089,34,siðspilling,corruption,,corruption
73a6d089,35,arfleifð,heritage,,heritage
73a6d089,36,markmið,objective,,objective
73a6d089,37,áhrifaríkur,influential,,
73a6d089,38,hvatning,motivation,,
73a6d089,39,samkennd,empathy,,
73a6d089,40,úlfaldi,camel,camel,
73a6d089,41,tungl,moon,moon,
73a6d089,42,logi,flame,,flame
73a6d089,43,bros,smile,smile,
73a6d089,44,hákarl,shark,shark,
73a6d089,45,vindlingur,cigar,cigar,
73a6d089,46,sími,phone,,phone
73a6d089,47,sauðfé,sheep,sheep,
73a6d089,48,skammbyssa,pistol,,pistol
73a6d089,49,ljósmynd,photo,photo,
73a6d089,50,veski,purse,,
